date,state_name,veg_name,price,retail_price,mall_price,unit,veg_image
2024-05-05,Himachal Pradesh,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,N/A
2024-05-05,Himachal Pradesh,Snake Gourd,25,29 - 32,30 - 41,1kg,N/A
2024-05-05,Himachal Pradesh,Sorrel Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-05,Himachal Pradesh,Spinach,10,12 - 13,12 - 17,1kg,N/A
2024-05-05,Himachal Pradesh,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-06,Himachal Pradesh,Onion Big,26,30 - 33,31 - 43,1kg,N/A
2024-05-06,Himachal Pradesh,Onion Small,35,40 - 44,42 - 58,1kg,N/A
2024-05-06,Himachal Pradesh,Tomato,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,Himachal Pradesh,Green Chilli,43,49 - 55,52 - 71,1kg,N/A
2024-05-06,Himachal Pradesh,Beetroot,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Himachal Pradesh,Potato,31,36 - 39,37 - 51,1kg,N/A
2024-05-06,Himachal Pradesh,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,N/A
2024-05-06,Himachal Pradesh,Amaranth Leaves,13,15 - 17,16 - 21,1kg,N/A
2024-05-06,Himachal Pradesh,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-06,Himachal Pradesh,Ash gourd,21,24 - 27,25 - 35,1kg,N/A
2024-05-06,Himachal Pradesh,Baby Corn,55,63 - 70,66 - 91,1kg,N/A
2024-05-06,Himachal Pradesh,Banana Flower,18,21 - 23,22 - 30,1kg,N/A
2024-05-06,Himachal Pradesh,Capsicum,45,52 - 57,54 - 74,1kg,N/A
2024-05-06,Himachal Pradesh,Bitter Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-06,Himachal Pradesh,Bottle Gourd,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,Himachal Pradesh,Butter Beans,50,58 - 64,60 - 83,1kg,N/A
2024-05-06,Himachal Pradesh,Broad Beans,29,33 - 37,35 - 48,1kg,N/A
2024-05-06,Himachal Pradesh,Cabbage,18,21 - 23,22 - 30,1kg,N/A
2024-05-06,Himachal Pradesh,Carrot,45,52 - 57,54 - 74,1kg,N/A
2024-05-06,Himachal Pradesh,Cauliflower,26,30 - 33,31 - 43,1kg,N/A
2024-05-06,Himachal Pradesh,Cluster beans,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Himachal Pradesh,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-06,Himachal Pradesh,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-06,Himachal Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,Himachal Pradesh,Coriander Leaves,7,8 - 9,8 - 12,1kg,N/A
2024-05-06,Himachal Pradesh,Corn,30,35 - 38,36 - 50,1kg,N/A
2024-05-06,Himachal Pradesh,Cucumber,25,29 - 32,30 - 41,1kg,N/A
2024-05-06,Himachal Pradesh,Curry Leaves,29,33 - 37,35 - 48,1kg,N/A
2024-05-06,Himachal Pradesh,Dill Leaves,11,13 - 14,13 - 18,1kg,N/A
